Tid;Temp_Topp[C];Temp_boks[C];Kjølevann_inn[C];Kjølevann_ut[C];Turtall[RPM];Dreiemoment[%];Effekt[W];Kjølevann[l/min]
15:37:19;24,471921;26,187547;18,371460;19,655643;0,031085;0,250327;0,000163;0,000740
15:37:29;24,503906;26,227503;18,387462;19,664984;0,005446;0,252003;0,000029;0,000577
15:37:39;24,527550;26,239156;18,390485;19,675123;0,054082;0,254467;0,000288;0,000830
15:37:49;24,548926;26,258769;18,404374;19,684409;0,047482;0,249933;0,000249;0,000844
15:37:59;24,571439;26,255767;18,416080;19,708284;0,015944;0,253038;0,000084;0,000623
15:38:09;24,608688;26,286038;18,430566;19,723546;-0,010318;0,255305;-0,000055;0,000934
15:38:19;24,610661;26,279830;19,921040;19,758906;-0,018216;0,254023;-0,000097;9,998916
15:38:29;24,639648;26,311446;18,857681;19,209390;0,031737;0,249982;0,000166;9,998470
15:38:39;24,640291;26,332375;17,251111;17,626405;0,036314;0,253876;0,000193;6,460488
15:38:49;24,668831;26,375181;17,278088;17,617880;-0,009667;0,251658;-0,000051;6,265258
15:38:59;24,680115;26,376226;17,245538;17,546354;0,040963;0,252101;0,000216;9,019169
15:39:09;24,711980;26,398606;16,718596;17,203423;0,063259;0,254368;0,000337;8,865867
15:39:19;24,723632;26,419989;15,924859;16,505929;0,033036;0,252299;0,000175;8,724813
15:39:29;24,758629;26,435433;15,466588;15,992799;0,021214;0,252496;0,000112;8,646257
15:39:39;24,802260;26,431980;15,254689;15,867777;-527,388619;-61,449614;678,747944;9,286403
15:39:49;23,847758;26,418751;15,160691;17,104205;-1303,553428;-70,127216;1914,582339;9,501723
15:39:59;19,367268;26,293001;15,093122;18,173720;-1387,668261;-69,420506;2017,585932;9,489962
15:40:09;12,603616;26,040420;15,035040;18,560010;-1399,987449;-73,038557;2141,583143;9,338800
15:40:19;5,527813;25,634944;14,974054;18,706612;-1400,834430;-76,648323;2248,785727;9,236700
15:40:29;-1,957617;25,052687;14,941189;18,726879;-1395,490619;-78,699096;2300,145342;9,405627
15:40:39;-9,074392;24,202231;14,948608;18,803621;-1392,136883;-83,006495;2420,207659;9,594713
15:40:49;-15,824121;23,169047;14,908008;18,814116;-1398,160873;-83,835567;2454,957985;9,623898
15:40:59;-22,143878;21,992668;14,696393;18,716014;-1393,571476;-87,324935;2548,743500;9,606829
15:41:09;-28,020440;20,449122;14,306526;18,419481;-1395,178755;-89,184199;2606,011828;9,553229
15:41:19;-33,544515;18,908125;13,869667;18,185429;-1397,542395;-89,641287;2623,805789;9,098786
15:41:29;-38,707918;17,037373;13,419961;17,841692;-1402,912459;-92,245055;2710,393083;9,096154
15:41:39;-43,527781;15,117056;13,056223;17,470850;-1396,104507;-92,461746;2703,576325;9,433783
15:41:49;-47,914059;13,190592;12,755776;17,082235;-1396,977097;-93,742932;2742,751320;9,392696
15:41:59;-51,957691;11,115962;12,542034;16,872139;-1392,338439;-94,969215;2769,403736;9,384346
15:42:09;-55,611041;9,091487;12,389521;16,779537;-1396,299514;-95,962641;2806,334209;9,211356
15:42:19;-58,981360;6,996233;12,285656;16,674235;-1398,427456;-98,063485;2872,141797;9,111261
15:42:29;-62,161132;4,828464;12,214807;16,594079;-1390,367415;-99,125856;2886,523824;9,204039
15:42:39;-65,148243;2,629155;12,196726;16,485494;-1396,021135;-100,598402;2941,316016;9,393521
15:42:49;-67,887529;0,379749;12,172814;16,458002;-1397,841795;-101,638005;2975,587773;9,375181
15:42:59;-70,389795;-1,849123;12,153417;16,410746;-1396,048048;-101,960209;2981,190292;9,543786
15:43:09;-72,744927;-3,942930;12,134197;16,363029;-1388,645239;-102,944467;2994,007835;9,461131
15:43:19;-74,989599;-6,110874;12,147363;16,366959;-1399,760944;-104,679736;3068,846071;9,345401
15:43:29;-77,137791;-8,172418;12,136689;16,612773;-1401,034684;-105,600323;3098,651601;8,802810
15:43:39;-79,208372;-10,169630;12,143423;16,585866;-1397,840480;-106,233349;3110,119672;8,934057
15:43:49;-81,140697;-12,147423;12,122896;16,599496;-1397,464270;-107,054387;3133,313118;8,865124
15:43:59;-82,874172;-14,062349;12,126378;16,586158;-1397,140581;-108,201030;3166,139997;8,892405
15:44:09;-84,545442;-15,773895;12,121527;16,592264;-1393,035720;-108,816956;3174,807796;8,831112
15:44:19;-86,178310;-17,653437;12,115326;16,593693;-1398,319781;-109,844928;3216,956021;8,871147
15:44:29;-87,860717;-19,399724;12,127363;16,609184;-1389,590695;-111,132862;3234,357418;8,958598
15:44:39;-89,413188;-21,053013;12,137421;16,639827;-1401,330788;-111,219647;3264,230298;8,859311
15:44:49;-90,732490;-22,614568;12,105249;16,604104;-1395,451880;-111,832862;3268,458084;8,844566
15:44:59;-91,841371;-24,205499;12,112382;16,618035;-1400,889579;-112,089719;3288,730607;8,900013
15:45:09;-92,897648;-25,726707;12,122290;16,605235;-1400,328870;-113,277217;3322,241708;8,842508
15:45:19;-93,906269;-27,279241;12,092300;16,606735;-1393,807187;-113,334138;3308,430829;8,823419
15:45:29;-94,833120;-28,691238;12,087699;16,611346;-1396,485976;-113,863179;3330,262727;8,784317
15:45:39;-95,754726;-30,067818;12,067025;16,397243;-1394,346883;-114,462152;3342,653418;9,437696
15:45:49;-96,607843;-31,402604;12,069141;16,360810;-1398,162203;-114,616552;3356,321148;9,559695
15:45:59;-97,379166;-32,741645;12,049704;16,375372;-1393,656832;-115,096213;3359,506565;9,328400
15:46:09;-98,176470;-33,994055;12,039484;16,368830;-1387,456194;-114,514291;3327,649558;9,387789
15:46:19;-98,902987;-35,224041;12,026622;16,332370;-1398,094573;-115,681386;3387,338893;9,225267
15:46:29;-99,574414;-36,418133;11,998011;16,385052;-1398,869326;-116,528345;3414,030062;9,357394
15:46:39;-100,332058;-37,425370;11,967128;16,304294;-1393,009419;-116,691074;3404,476213;9,510685
15:46:49;-101,024476;-38,432767;11,968670;16,278390;-1395,461731;-115,402943;3372,822064;9,475527
15:46:59;-101,331120;-39,499452;11,969169;16,317591;-1404,284030;-115,318918;3391,674206;9,403751
